customer_id,age,gender,location,employment_status,credit_score,annual_income,account_balance,loan_amount,loan_status
10000,26,Male,London,Retired,719,52000,3000,19000,Approved
10001,23,Female,Madrid,Student,743,93000,2000,4000,Approved
10002,29,Male,Paris,Employed,783,53000,8000,10000,Rejected
10003,27,Male,Rome,Student,633,72000,3000,2000,Rejected
10004,41,Female,Madrid,Employed,654,43000,4000,17000,Rejected
10005,20,Female,Paris,Employed,781,78000,7000,5000,Rejected
10006,37,Female,London,Retired,640,76000,8000,11000,Rejected
10007,64,Female,Berlin,Employed,726,69000,6000,8000,Approved
10008,51,Female,Berlin,Retired,632,40000,1000,6000,Approved
10009,29,Male,Berlin,Student,605,52000,3000,15000,Approved
10010,68,Female,Berlin,Retired,788,100000,7000,19000,Approved
10011,35,Female,Rome,Student,809,61000,3000,17000,Rejected
10012,50,Male,London,Student,685,45000,1000,11000,Rejected
10013,70,Female,Madrid,Retired,759,87000,4000,8000,Approved
10014,70,Male,London,Student,718,36000,5000,11000,Approved
10015,72,Male,Berlin,Retired,712,31000,8000,17000,Rejected
10016,62,Female,Berlin,Retired,656,63000,1000,2000,Rejected
10017,45,Male,Paris,Employed,600,60000,1000,13000,Rejected
10018,53,Male,Berlin,Student,740,44000,5000,17000,Rejected
10019,19,Male,Paris,Employed,731,50000,2000,9000,Rejected
10020,75,Male,Madrid,Employed,710,46000,2000,0,Approved
10021,66,Male,Madrid,Retired,750,61000,8000,12000,Approved
10022,43,Female,Berlin,Student,604,76000,4000,17000,Approved
10023,57,Female,Madrid,Retired,844,43000,9000,4000,Approved
10024,37,Male,Rome,Retired,737,43000,9000,6000,Rejected
10025,25,Female,London,Student,655,66000,10000,1000,Approved
10026,19,Male,Madrid,Student,689,61000,7000,2000,Rejected
10027,56,Female,London,Employed,800,81000,3000,14000,Approved
10028,52,Male,Rome,Retired,696,71000,6000,0,Approved
10029,34,Female,Berlin,Employed,677,38000,1000,2000,Rejected
10030,54,Female,Rome,Student,625,54000,3000,13000,Rejected
10031,35,Male,Paris,Student,787,56000,6000,14000,Approved
10032,69,Male,Rome,Employed,664,68000,7000,18000,Approved
10033,63,Male,Madrid,Employed,644,46000,5000,10000,Approved
10034,53,Female,Madrid,Retired,686,89000,5000,10000,Approved
10035,63,Male,Rome,Student,816,31000,5000,16000,Approved
10036,46,Female,Berlin,Retired,657,37000,2000,18000,Rejected
10037,34,Female,Paris,Retired,801,92000,7000,17000,Approved
10038,30,Female,Berlin,Student,824,55000,7000,6000,Rejected
10039,70,Male,Berlin,Retired,736,62000,6000,16000,Approved
10040,72,Male,London,Student,664,60000,4000,8000,Approved
10041,38,Female,Berlin,Retired,839,92000,6000,10000,Approved
10042,27,Female,Paris,Retired,673,36000,8000,18000,Rejected
10043,60,Female,London,Student,638,71000,4000,13000,Rejected
10044,22,Male,Paris,Employed,788,31000,3000,2000,Approved
10045,55,Female,London,Retired,619,88000,2000,13000,Rejected
10046,67,Male,London,Employed,698,48000,2000,3000,Approved
10047,21,Male,London,Employed,766,40000,1000,9000,Approved
10048,22,Male,London,Retired,843,73000,2000,18000,Rejected
10049,21,Female,Madrid,Student,751,34000,8000,7000,Rejected
10050,50,Female,Berlin,Employed,666,50000,6000,10000,Rejected
10051,20,Male,Rome,Retired,704,54000,10000,2000,Approved
10052,61,Female,Paris,Employed,767,82000,9000,2000,Approved
10053,53,Male,London,Student,728,35000,4000,8000,Approved
10054,66,Male,Madrid,Employed,677,88000,4000,13000,Rejected
10055,36,Male,Berlin,Student,805,79000,9000,7000,Approved
10056,46,Male,Berlin,Employed,648,73000,6000,7000,Approved
10057,66,Male,London,Student,744,46000,2000,17000,Rejected
10058,60,Male,Paris,Retired,718,57000,6000,4000,Approved
