customer_id,age,gender,location,employment_status,credit_score,annual_income,account_balance,loan_amount,loan_status
1100,50,Male,Madrid,Retired,837,92000,7000,9000,Approved
1101,20,Female,Madrid,Employed,770,56000,4000,20000,Rejected
1102,50,Female,Berlin,Retired,611,100000,9000,2000,Rejected
1103,47,Male,Paris,Employed,842,42000,2000,16000,Approved
1104,71,Female,Paris,Retired,778,49000,3000,1000,Rejected
1105,49,Female,Rome,Retired,754,88000,10000,5000,Rejected
1106,68,Male,Rome,Retired,764,89000,9000,6000,Rejected
1107,72,Male,Berlin,Employed,686,86000,2000,11000,Rejected
1108,36,Female,Rome,Employed,680,34000,8000,16000,Rejected
1109,43,Male,London,Retired,647,58000,8000,17000,Rejected
1110,64,Female,Berlin,Student,741,97000,8000,11000,Rejected
1111,46,Male,Rome,Retired,651,48000,4000,7000,Approved
1112,36,Male,London,Employed,738,70000,7000,19000,Approved
1113,38,Male,Berlin,Retired,640,36000,3000,2000,Approved
1114,71,Male,London,Employed,625,50000,3000,10000,Approved
1115,38,Male,Madrid,Retired,807,100000,3000,2000,Rejected
1116,56,Female,London,Retired,603,87000,10000,20000,Rejected
1117,48,Female,Madrid,Student,780,77000,3000,17000,Approved
1118,42,Male,Paris,Student,800,73000,10000,8000,Approved
1119,67,Female,Madrid,Retired,772,79000,2000,16000,Rejected
1120,75,Male,Berlin,Retired,786,86000,10000,1000,Approved
1121,20,Female,Paris,Retired,610,93000,8000,16000,Approved
1122,49,Female,Paris,Employed,830,82000,10000,1000,Approved
1123,51,Male,Paris,Retired,691,41000,1000,4000,Approved
1124,26,Male,London,Employed,802,77000,2000,15000,Rejected
1125,61,Male,Berlin,Employed,730,90000,2000,5000,Rejected
1126,60,Female,Rome,Retired,658,55000,10000,19000,Rejected
1127,34,Male,Rome,Student,734,50000,5000,9000,Approved
1128,61,Female,Madrid,Student,819,79000,7000,12000,Approved
1129,29,Male,Rome,Employed,843,37000,5000,16000,Rejected
1130,41,Male,Rome,Retired,709,96000,9000,19000,Approved
1131,50,Male,Paris,Student,757,61000,9000,18000,Approved
1132,21,Female,London,Employed,813,97000,6000,20000,Rejected
1133,45,Female,Berlin,Employed,740,37000,6000,14000,Approved
1134,38,Male,Rome,Employed,619,54000,1000,2000,Approved
1135,49,Male,Berlin,Student,850,57000,1000,9000,Approved
1136,55,Female,Madrid,Student,632,100000,9000,7000,Approved
1137,32,Female,Madrid,Student,628,95000,8000,11000,Rejected
1138,58,Male,London,Student,698,75000,10000,6000,Rejected
1139,69,Female,London,Employed,845,85000,8000,2000,Rejected
1140,45,Female,Paris,Employed,692,32000,3000,10000,Rejected
1141,34,Male,Paris,Employed,606,54000,2000,12000,Approved
1142,71,Female,Berlin,Employed,673,74000,9000,1000,Rejected
1143,36,Female,Berlin,Retired,683,59000,5000,20000,Approved
1144,57,Male,Paris,Student,767,66000,2000,3000,Rejected
1145,43,Female,Paris,Retired,821,90000,7000,17000,Rejected
1146,58,Male,London,Retired,680,40000,4000,18000,Rejected
1147,20,Female,Paris,Employed,842,71000,2000,5000,Approved
1148,44,Female,Berlin,Employed,605,81000,9000,10000,Rejected
1149,43,Female,Rome,Student,771,65000,4000,9000,Rejected
1150,23,Male,London,Retired,618,82000,3000,1000,Approved
1151,32,Female,Paris,Retired,618,34000,3000,18000,Rejected
1152,19,Male,Madrid,Employed,716,39000,4000,8000,Approved
1153,45,Female,Berlin,Retired,725,53000,10000,14000,Rejected
1154,49,Female,Madrid,Retired,667,58000,7000,20000,Rejected
1155,39,Female,Madrid,Retired,724,49000,3000,17000,Approved
1156,38,Male,Madrid,Student,617,83000,7000,4000,Approved
1157,31,Male,Paris,Retired,620,88000,5000,16000,Approved
1158,54,Female,Madrid,Student,790,49000,8000,0,Rejected
1159,54,Male,London,Employed,646,79000,1000,1000,Approved
1160,56,Male,Paris,Student,711,78000,4000,20000,Approved
1161,66,Male,Rome,Student,708,82000,8000,0,Approved
1162,43,Female,Berlin,Retired,835,40000,1000,14000,Approved
1163,75,Female,Berlin,Student,671,56000,8000,6000,Approved
1164,21,Female,Rome,Student,706,87000,9000,3000,Approved
1165,57,Female,Rome,Student,796,68000,1000,15000,Rejected
1166,73,Male,Paris,Retired,826,99000,6000,20000,Approved
1167,69,Male,Paris,Retired,787,31000,3000,15000,Rejected
1168,55,Male,London,Student,687,85000,7000,2000,Rejected
1169,27,Male,Madrid,Student,651,92000,7000,10000,Rejected
1170,53,Male,Rome,Employed,714,63000,8000,12000,Approved
1171,42,Male,Rome,Retired,826,62000,5000,20000,Approved
1172,30,Female,Berlin,Employed,696,33000,2000,10000,Rejected
1173,73,Female,Madrid,Student,798,71000,2000,4000,Rejected
1174,53,Male,Berlin,Retired,721,74000,9000,14000,Approved
1175,18,Male,Rome,Retired,736,37000,7000,4000,Rejected
1176,28,Female,London,Student,838,81000,6000,0,Approved
1177,42,Female,Berlin,Student,817,98000,9000,6000,Rejected
1178,49,Female,Paris,Student,670,47000,5000,1000,Approved
1179,63,Male,Paris,Retired,810,72000,4000,16000,Approved
1180,25,Male,London,Employed,840,47000,8000,11000,Approved
1181,35,Male,Rome,Student,817,82000,5000,0,Approved
1182,71,Female,London,Student,692,99000,8000,0,Rejected
1183,50,Male,Rome,Retired,745,69000,6000,8000,Approved
1184,29,Male,London,Student,847,40000,8000,12000,Approved
1185,50,Male,Berlin,Employed,642,79000,5000,6000,Rejected
1186,29,Male,London,Employed,807,61000,6000,13000,Approved
1187,22,Female,Madrid,Student,678,58000,1000,6000,Approved
1188,69,Female,Berlin,Student,722,96000,1000,13000,Approved
1189,49,Male,Paris,Retired,623,60000,3000,17000,Approved
1190,29,Male,London,Retired,646,82000,2000,4000,Approved
1191,50,Male,Berlin,Employed,609,83000,2000,17000,Rejected
1192,49,Female,Paris,Retired,636,34000,7000,19000,Approved
1193,70,Female,Rome,Employed,802,72000,2000,9000,Rejected
1194,33,Female,Rome,Employed,783,36000,3000,7000,Approved
1195,47,Male,Madrid,Employed,603,81000,10000,2000,Approved
1196,45,Female,London,Employed,727,52000,9000,9000,Approved
1197,19,Female,Paris,Student,795,93000,9000,14000,Rejected
1198,57,Male,Paris,Student,838,35000,8000,14000,Rejected
1199,34,Female,Madrid,Retired,800,49000,6000,14000,Rejected
