customer_id,age,gender,location,employment_status,credit_score,annual_income,account_balance,loan_amount,loan_status
100,52,Female,Rome,Retired,840,69000,1000,12000,Rejected
101,33,Female,London,Employed,733,66000,2000,17000,Approved
102,39,Male,Berlin,Employed,735,67000,8000,8000,Rejected
103,53,Male,London,Retired,664,65000,6000,20000,Approved
104,31,Male,Madrid,Retired,671,44000,7000,2000,Rejected
105,26,Female,Paris,Retired,758,100000,8000,13000,Rejected
106,45,Male,Rome,Student,666,31000,1000,13000,Rejected
107,75,Male,Berlin,Student,630,99000,10000,13000,Rejected
108,20,Male,Madrid,Retired,819,81000,9000,0,Approved
109,67,Female,London,Employed,722,44000,10000,20000,Approved
110,38,Female,London,Employed,641,41000,2000,1000,Approved
111,40,Male,Madrid,Employed,841,71000,9000,4000,Approved
112,68,Female,Madrid,Employed,672,66000,9000,20000,Approved
113,19,Male,Berlin,Retired,629,79000,5000,2000,Approved
114,19,Female,Madrid,Retired,699,59000,7000,5000,Rejected
115,69,Male,Madrid,Retired,832,41000,10000,13000,Approved
116,64,Male,Rome,Student,666,52000,5000,3000,Approved
117,26,Female,London,Employed,843,61000,7000,7000,Rejected
118,44,Male,Paris,Student,772,82000,10000,13000,Rejected
119,40,Male,Madrid,Retired,676,41000,4000,0,Approved
120,59,Male,Berlin,Retired,654,34000,10000,19000,Rejected
121,39,Male,Berlin,Student,701,56000,1000,16000,Approved
122,57,Female,Berlin,Employed,740,30000,10000,9000,Approved
123,27,Female,London,Employed,725,75000,10000,13000,Approved
124,67,Female,London,Student,756,87000,6000,14000,Rejected
125,65,Male,Rome,Retired,755,72000,5000,17000,Approved
126,69,Male,London,Retired,624,70000,9000,4000,Rejected
127,36,Female,Paris,Student,652,75000,8000,2000,Approved
128,45,Male,London,Retired,774,87000,4000,12000,Approved
129,43,Male,Rome,Employed,633,43000,8000,10000,Approved
130,19,Male,London,Retired,647,92000,2000,14000,Approved
131,23,Female,Paris,Retired,798,78000,1000,4000,Rejected
132,27,Female,Madrid,Student,806,70000,1000,10000,Rejected
133,47,Female,Rome,Student,706,95000,9000,0,Approved
134,46,Female,London,Retired,665,47000,9000,13000,Rejected
135,51,Male,London,Retired,742,39000,8000,17000,Rejected
136,66,Female,Madrid,Student,808,41000,5000,7000,Rejected
137,34,Female,Berlin,Employed,747,61000,5000,3000,Rejected
138,20,Male,Berlin,Student,710,78000,1000,20000,Approved
139,58,Male,London,Retired,648,71000,5000,6000,Rejected
140,41,Female,Berlin,Employed,712,75000,1000,10000,Rejected
141,46,Female,Paris,Student,674,47000,5000,3000,Rejected
142,37,Male,Madrid,Student,704,63000,6000,8000,Rejected
143,55,Male,London,Employed,691,39000,2000,4000,Approved
144,66,Female,London,Employed,675,45000,7000,16000,Approved
145,56,Female,Paris,Retired,832,79000,6000,15000,Approved
146,60,Female,Rome,Student,691,60000,6000,1000,Approved
147,31,Female,Madrid,Employed,712,53000,6000,16000,Rejected
148,58,Male,Paris,Student,602,56000,6000,4000,Approved
149,28,Male,Paris,Employed,643,52000,8000,10000,Approved
150,58,Female,Madrid,Student,691,89000,5000,3000,Rejected
151,61,Male,London,Retired,671,77000,9000,20000,Approved
152,40,Male,Madrid,Retired,620,47000,4000,20000,Approved
153,58,Male,Madrid,Employed,730,89000,2000,3000,Rejected
154,66,Male,Madrid,Student,804,30000,7000,6000,Approved
155,59,Female,London,Student,744,74000,2000,14000,Approved
156,20,Male,London,Retired,772,32000,7000,10000,Rejected
157,39,Female,Madrid,Employed,799,38000,4000,0,Rejected
158,62,Female,Rome,Student,823,57000,10000,20000,Approved
159,29,Female,Madrid,Student,719,90000,2000,16000,Approved
160,45,Male,London,Student,815,69000,1000,15000,Rejected
161,59,Female,Madrid,Retired,616,92000,1000,14000,Approved
162,38,Female,Berlin,Retired,774,55000,8000,4000,Rejected
163,49,Male,London,Retired,679,60000,6000,14000,Rejected
164,31,Female,Madrid,Student,809,62000,4000,5000,Approved
165,31,Male,Berlin,Employed,619,53000,4000,20000,Approved
166,26,Male,London,Retired,836,94000,7000,13000,Approved
167,62,Female,Rome,Student,758,90000,10000,4000,Approved
168,41,Female,Berlin,Retired,738,81000,10000,10000,Approved
169,28,Female,Berlin,Employed,687,61000,4000,14000,Approved
170,54,Male,Rome,Student,607,89000,5000,0,Rejected
171,62,Female,Paris,Employed,710,84000,2000,15000,Rejected
172,54,Male,Paris,Retired,788,40000,3000,0,Approved
173,55,Female,Rome,Retired,648,37000,9000,7000,Approved
174,26,Female,London,Retired,638,44000,9000,7000,Approved
175,65,Male,Berlin,Retired,638,62000,10000,17000,Approved
176,44,Male,London,Retired,752,92000,2000,1000,Rejected
177,44,Male,Paris,Retired,733,94000,7000,1000,Approved
178,49,Male,Berlin,Employed,638,88000,9000,7000,Approved
179,65,Male,Paris,Retired,797,51000,6000,16000,Rejected
180,34,Female,Paris,Retired,745,59000,6000,11000,Approved
181,29,Male,Paris,Employed,810,61000,7000,7000,Approved
182,31,Female,London,Retired,638,50000,2000,11000,Approved
183,25,Male,Berlin,Employed,610,62000,3000,8000,Approved
184,43,Male,Madrid,Retired,647,81000,3000,11000,Rejected
185,69,Male,Berlin,Retired,624,73000,10000,2000,Approved
186,39,Female,London,Retired,846,77000,3000,2000,Rejected
187,18,Male,London,Retired,749,91000,1000,17000,Rejected
188,59,Female,Rome,Employed,766,30000,7000,15000,Approved
189,65,Male,Berlin,Employed,603,92000,8000,2000,Approved
190,19,Male,London,Retired,625,89000,6000,13000,Approved
191,19,Male,Paris,Retired,625,58000,2000,13000,Approved
192,19,Male,Paris,Retired,699,44000,9000,1000,Approved
193,44,Female,London,Student,825,45000,4000,13000,Approved
194,47,Female,Berlin,Employed,782,95000,2000,17000,Rejected
195,68,Male,Paris,Student,714,78000,5000,3000,Rejected
196,73,Female,London,Employed,733,75000,10000,15000,Rejected
197,64,Female,Berlin,Student,825,100000,4000,10000,Rejected
198,38,Female,Rome,Student,628,38000,1000,9000,Approved
199,38,Male,Berlin,Employed,690,52000,4000,13000,Rejected
